year,A20.mediandate,comment,area,forecast.source,forecast.median,pi.probability,pi.lower,pi.upper,forecast.comment
1951,,,,,,,,,
1952,,,,,,,,,
1953,7/4/1953,,,,,,,,
1954,7/1/1954,,,,,,,,
1955,6/30/1955,,,,,,,,
1956,,,,,,,,,
1957,7/5/1957,,,,,,,,
1958,7/12/1958,,,,,,,,
1959,7/4/1959,,,,,,,,
1960,,,,,,,,,
1961,7/2/1961,,,,,,,,
1962,6/30/1962,,,,,,,,
1963,6/29/1963,,,,,,,,
1964,,,,,,,,,
1965,6/30/1965,,,,,,,,
1966,6/30/1966,,,,,,,,
1967,7/8/1967,,,,,,,,
1968,,,,,,,,,
1969,7/1/1969,,,,,,,,
1970,6/27/1970,,,,,,,,
1971,7/2/1971,,,,,,,,
1972,,,,,,,,,
1973,7/2/1973,,,,,,,,
1974,6/30/1974,,,,,,,,
1975,6/29/1975,,,,,,,,
1976,,,,,,,,,
1977,6/30/1977,,,,,,,,
1978,6/28/1978,,,,,,,,
1979,7/2/1979,,,,,,,,
1980,7/3/1980,years 1980-2010 revised by Jim Cave in spring 2011 to avoid old method choosing day closer to 50% email from Jim Cave 20110414,,,,,,,
1981,7/3/1981,email from Jim Cave 20110414,,,,,,,
1982,7/4/1982,email from Jim Cave 20110414,,,,,,,
1983,7/1/1983,email from Jim Cave 20110414,,,,,,,
1984,7/1/1984,email from Jim Cave 20110414,,,,,,,
1985,7/5/1985,email from Jim Cave 20110414,,,,,,,
1986,7/1/1986,email from Jim Cave 20110414,,,,,,,
1987,7/5/1987,email from Jim Cave 20110414,,,,,,,
1988,7/2/1988,email from Jim Cave 20110414,,,,,,,
1989,7/3/1989,email from Jim Cave 20110414,,,,,,,
1990,7/4/1990,email from Jim Cave 20110414,,,,,,,
1991,7/8/1991,email from Jim Cave 20110414,,,,,,,
1992,7/7/1992,email from Jim Cave 20110414,,,,,,,
1993,7/10/1993,email from Jim Cave 20110414,,,,,,,
1994,7/5/1994,email from Jim Cave 20110414,,,,,,,
1995,7/1/1995,email from Jim Cave 20110414,,,,,,,
1996,7/6/1996,email from Jim Cave 20110414,,,,,,,
1997,7/11/1997,email from Jim Cave 20110414,,,,,,,
1998,7/3/1998,email from Jim Cave 20110414,,,,,,,
1999,7/3/1999,email from Jim Cave 20110414,,,,,,,
2000,6/28/2000,email from Jim Cave 20110414,,,,,,,
2001,6/29/2001,email from Jim Cave 20110414,,,,,,,
2002,7/4/2002,email from Jim Cave 20110414,,,,,,,
2003,7/6/2003,email from Jim Cave 20110414,a20,"oscurs, sst",7/6/2003,90%,6/2/2003,7/10/2003,
2004,7/7/2004,email from Jim Cave 20110414,a20,"oscurs, sst",6/29/2004,90%,6/25/2004,7/3/2004,
2005,7/17/2005,email from Jim Cave 20110414,a20,"oscurs, sst",7/4/2005,90%,7/1/2005,7/7/2005,
2006,7/7/2006,email from Jim Cave 20110414,a20,"oscurs, sst",7/3/2006,90%,6/28/2006,7/8/2006,
2007,7/1/2007,Very small run so resolution of timing isn't good email from Jim Cave 20110414,a20,"oscurs, sst",7/1/2007,90%,6/26/2007,7/6/2007,
2008,6/29/2008,based on test fishing email from Jim Cave 20110414,a20,"oscurs, sst",7/1/2008,90%,6/28/2008,7/7/2008,
2009,6/29/2009,email from Jim Cave 20110414,a20,"oscurs, sst",7/4/2009,90%,6/29/2009,7/10/2009,
2010,7/5/2010,email from Jim Cave 20110414,a20,"POM, SST",7/2/2010,90%,6/27/2010,7/7/2010,
2011,7/4/2011,email from jim cave 20111209,a20,,,,,,not produced?
2012,7/4/2012,catherine michielsens (PSC) email Jan 24 2013,a20,"POM, SST",6/29/2012,,,,
2013,7/3/2013,catherine michielsens (PSC) email September 11 2013; updated fiona martens (PSC) email May 8 2019,a20,"POM, SST",6/30/2013,,,,
2014,7/9/2014,catherine michielsens (PSC) email March 03 2015 12:12 PM,a20,"POM, SST",7/2/2014,,,,
2015,7/6/2015,catherine michielsens (PSC) email March-03-16 3:33 PM,a20,"oscar, sst",7/8/2015,50%,7/6/2015,7/9/2015,
2016,7/3/2016,catherine michielsens (PSC) email Jan 03 2017,a20,bootstrap,7/2/2016,50%,7/1/2016,7/4/2016,
2017,7/4/2017,catherine michielsens (PSC) email Dec 21 2017,a20,bootstrapJune,6/29/2017,50%,6/28/2017,7/1/2017,
2018,7/4/2018,fiona martens (PSC) email May 8 2019,a20,bootstrapJune,7/2/2018,50%,6/30/2018,7/5/2018,
2019,7/7/2019,catherine michielsen (PSC) email June 3 2020 7:50 PM,a20,ARIMAJune,7/5/2019,50%,6/11/2019,7/29/2019,
2020,7/6/2020,catherine michielsen (PSC) email May 17 2021 4:35 PM,a20,ARIMAJune,7/3/2020,95%,6/28/2020,7/12/2020,
2021,7/5/2021,catherine michielsen (PSC) email Jan 31 2022,a20,bootstrapJune,7/5/2021,95%,7/1/2021,7/8/2021,
