year, nd,ndOld,comment
1953,0.0942,0.09,
1954,0.018,0.02,
1955,0.0914,0.09,
1956,0.0987,0.1,
1957,0.1946,0.2,
1958,0.3491,0.35,
1959,0.1472,0.15,
1960,0.1858,0.19,
1961,0.1642,0.16,
1962,0.1185,0.12,
1963,0.1122,0.11,
1964,0.1023,0.1,
1965,0.1031,0.1,
1966,0.2452,0.25,
1967,0.2495,0.26,
1968,0.1763,0.18
1969,0.1503,0.15
1970,0.2392,0.24
1971,0.1164,0.12
1972,0.3398,0.34
1973,0.0896,0.09
1974,0.2159,0.22
1975,0.1165,0.12
1976,0.2081,0.21
1977,0.1761,0.18
1978,0.5277,0.57
1979,0.265,0.27
1980,0.695,0.7
1981,0.67,0.67
1982,0.22,0.22
1983,0.8,0.8
1984,0.33,0.33,
1985,0.32,0.32,
1986,0.22,0.22,
1987,0.37,0.37,
1988,0.15,0.2,
1989,0.431,0.41,
1990,0.286,0.25,
1991,0.4,0.4,
1992,0.7,0.7,
1993,0.75,0.75,
1994,0.8,0.75,revised June 2009 - Jim Cave
1995,0.55,0.5,revised June 2009 - Jim Cave
1996,0.35,0.4,revised June 2009 - Jim Cave
1997,0.77,0.79,revised June 2009 - Jim Cave
1998,0.7,0.78,revised June 2009 - Jim Cave
1999,0.45,0.5,revised June 2009 - Jim Cave
2000,0.35,0.36,
2001,0.2,0.2,
2002,0.51,0.5,
2003,0.69,0.66,revised June 2009 - Jim Cave
2004,0.64,0.7,revised June 2009 - Jim Cave
2005,0.74,0.7,
2006,0.65,0.65,
2007,0.44,0.46,not well known
2008,0.1,0.1,based on test fishing - Jim Cave
2009,0.47,,
2010,0.73,,
2011,0.62,,
2012,0.18,,catherine michielsens (PSC) email May 3 2013
2013,0.71,,catherine michielsens (PSC) email September 11 2013 10:41 AM
2014,0.96,,catherine michielsens (PSC) email March 03 2015 12:12 PM
2015,0.69,,catherine michielsens (PSC) email March-03-16 3:33 PM
2016,0.50,,catherine michielsens (PSC) email Jan 03 2017
2017,0.64,,fiona martens (PSC) email May 8 2019
2018,0.39,,catherine michielsen (PSC) email June 3 2020 7:50 PM
2019,0.84,,catherine michielsen (PSC) email June 3 2020 7:50 PM
2020,0.25,,catherine michielsen (PSC) email May 17 2021 4:35 PM
2021,0.27,,catherine michielsen (PSC) email Jan 31 2022
